source_question,comment_hash,appointment_access,waiting,communication_updates,staff_helpfulness,technical_knowledge,explanation_clarity,options_cost_transparency,resolution_escalation,turnaround,process_ease_hand_offs,other
positive_comment,a26fdee2da0ae1db3166a7a8bda37ba25aa4dc2fae18c73b477824a4dcbb39e3,0,0,0,0,0,0,0,0,1,0,0
negative_comment,b8306eba8e18faa842000624db63dc1626a9b7064c8fc33f5f580e4c46ca5e73,0,0,0,0,0,0,0,1,0,0,0
negative_comment,2cda087f0d42c5ce0c52e8153b0b652dfe35af96d601dc9c3d8d79940200e3a0,0,0,0,0,0,1,0,0,0,0,0
negative_comment,6ea29c4f54e38513623663f2561af1fd87eea0b839305ec5b447d4398b956ebf,0,0,0,0,0,1,1,0,0,0,0
negative_comment,0b88a25c9ad82fbf1c91e81c524d84a7f127f039296e2e840bf55270ac519f11,0,0,1,0,0,0,1,0,0,1,0
negative_comment,4deace77753972dc351f13fb673ba4c486740da0379f0c1c3eb632e284db6b62,0,0,0,0,0,1,1,0,0,0,0
negative_comment,a3ff13051cf4e39a305709aa178269852023207a44633cd994bde759109fb02a,0,0,1,0,0,1,0,0,0,0,0
negative_comment,e2adc98c8cb8e45933bd3e8fd0d1f6cfeb14ca72ea9fa4e048e13b2a01ee8c5e,0,0,0,0,0,0,0,0,0,1,0
negative_comment,1a672cabc500d1740620a4e55087558d6c737cb94dcfad6e6a14cd2ce9a38099,0,0,0,0,0,1,1,0,0,0,0
negative_comment,06c6e2ed6e2522e12b28346c7a5752821b58d45fd6d8d3141906bd693cc33924,1,0,0,0,0,0,0,0,0,1,0
negative_comment,5c8ae3c1a3831c1ca4f93647ea09d97e004acb67cd47775d4268468f26d2aafe,0,0,1,0,0,0,0,0,0,0,0
negative_comment,95e08e42b47f4bb178bd3cd6b6798ea1eb1f4f6e29ae92a10b7647a2ddf4df10,1,0,0,0,0,0,0,0,0,1,0
negative_comment,0f90046a355e8887e49e9528267d1ace08e022d2b9591f636004791c21d9e574,0,0,1,0,0,0,0,0,0,0,0
negative_comment,7db612dba10ed2d4d48b4e4de8eb17fcd903ec2572a16f5ef05221d5d9373df9,0,0,0,0,0,0,0,1,0,0,0
negative_comment,f349b5a8a4460ccd929ff8fa971e90f926dc83af190b8ec432827c075f501df8,0,0,1,0,0,0,0,0,0,0,0
negative_comment,15d04d1050447a86a2f090a772de78670b81c5d76a4dd164a0c64b7f253b8d2a,0,0,0,0,0,0,0,1,0,0,0
negative_comment,f69c8ae5378e1e11ac49daaa30b4d3e5db741f61cbdf470de4993dda3555c7b0,0,0,1,0,0,1,0,0,0,0,0
negative_comment,80e7bc547312dbf1155d9096559eb21db20acca6452dde8b514c36658912e207,0,0,0,0,0,0,0,1,0,0,0
negative_comment,ab169fdfe7d3951503e747330afb15ad739c3ae8bf1cb801a05e08dd72eb1fa5,1,0,0,0,0,0,0,0,0,1,0
negative_comment,612bc415b79c51c65840ea2b872b094352c6c7f5621144562c0b2be941696230,0,0,0,1,0,0,0,0,0,0,0
negative_comment,764b4616e4363e6998396d62773402c165b56feeb5b4c672757f6ecd999cb7c9,0,0,0,1,0,0,0,0,0,0,0
negative_comment,9e66f0ecaef46dd853c8ad769235810d817b2d540ad290ea72d5cbd4f3b677ef,0,0,0,0,1,1,0,0,0,0,0
negative_comment,5a1e5fcbf47c052b4e0a8544f5716bd02b6fc26226a03361d7d044573b21ee70,1,0,0,0,0,0,0,0,0,1,0
negative_comment,d377cb62c13097e8ec4d0981f6028dac40f6dd5bd7f76cfb9dd939597a4df783,0,0,1,0,0,0,0,0,1,0,0
negative_comment,80dcffe3f5169debbed486e7fc214dfa7e3db7ff4d89ab7190f2b315596b383a,1,0,0,0,0,0,0,0,0,1,0
negative_comment,2b0df3498ad2b32f5d24ae2764ad1131851bce57068329d6110adf735e92c216,0,0,0,0,0,0,0,0,1,0,0
negative_comment,3819acf8e847eb7dbd6228385df2be8bd93997932df511152f76b274ad30170e,0,0,0,0,0,0,0,0,1,0,0
negative_comment,671d760bfa218369c21ae5a8299ad387061890ce113a655b6fd26600af7af221,0,1,0,0,0,0,0,0,0,0,0
negative_comment,a1f7636a4f3d61994c49a98fc1a4e110f5db77ad4763e4564b60abfdd860e59a,0,1,1,0,0,0,0,0,0,0,0
negative_comment,e28d217351f3fe6200feeba8cb86c3c68bd04e2f7f9063bf74cd21f5634887b7,0,0,0,0,0,1,1,0,0,0,0
negative_comment,dd9d6a9f23a7d4596fdfa505da402f718628de3ea6e5748f434befd81a529897,0,0,0,1,0,0,0,1,0,0,0
negative_comment,c4b2f009e833a5c8230b6db23c71460e3822e983d8b2a8597f4eb5d95fe08cd3,0,0,0,0,0,1,0,0,0,0,0
negative_comment,ab40d0d5f39efb4f4b87e2958bc3e1f53ed371b6874ce5f497dd3b3e8351c082,0,0,0,0,0,0,0,1,0,0,0
negative_comment,9d1b03751f59b099d12bd2d8b0bda827e4a6fe9d3fe8881ea928c8a2fd43e22a,0,0,0,0,0,0,0,1,0,0,0
negative_comment,49611f09f5a781f4df4ba84f582c9d661012c254689a9b1db1f0cbe86557d27b,0,0,1,0,0,1,0,0,0,0,0
improvement_comment,0d99725ac178b3aad6ebf116671a97750fc11681d7a008daf2d5e14b79abc6cc,0,1,1,0,0,0,0,0,0,0,0
improvement_comment,4d451e134a720fd41df6b4dd6c536bdcd35333928c66029f5e884415bdd6aae8,0,0,0,0,0,0,0,1,0,0,0
improvement_comment,9e58426fa32ccb3506d6477d6cb40c9882a01d1e6481cab0d8baa7fb459ae2f5,0,0,0,0,0,0,0,1,1,0,0
improvement_comment,1de44d6c3891bbb4dd82c9d7a479248dc8e91f32d3abbd2610cf243bdf3bd46a,0,0,1,0,0,1,0,0,1,1,0
improvement_comment,4e65f996502623314ff61fd8b367fea37418d40a9f4e4626d645bfd81f9668bc,0,0,0,1,0,1,0,0,0,0,0
improvement_comment,add432b0887b07d8f4602570e854719708f9ea14c851e0befa2e049d5888939e,0,0,0,0,0,0,0,1,0,1,0
improvement_comment,6ed5240fed7bddd8f5550805aa638ca7fc4a08a1027afcae1b468b27b78ddb88,0,1,1,0,0,0,0,0,0,1,0
improvement_comment,ff6550e660539790be0007adbb1fe001ad694f4b8c05981c523c71909c1a4536,0,0,1,0,0,0,0,0,0,0,0
improvement_comment,c01bf86c715bde062f20ed117d9dd3f4e4947b004c4b2ad69e909f43b079c57f,0,0,0,0,0,0,0,0,0,1,0
improvement_comment,b35b3c77127595ce711566b152bcf1697cff0e0e01cb8d0cca39a7332b7a02c3,0,0,1,0,0,1,0,0,0,0,0
improvement_comment,aaf0389309cd8ae312279a2cdd4e74438e4b495f07a29d3816af2be4d1fb3bb8,0,0,1,0,0,0,0,0,1,0,0
improvement_comment,036237c5ab1e5a20ae2f4a1f9712107cfdcf8745c067f290d29240bb2f5af814,0,0,0,0,1,1,0,0,0,0,0
improvement_comment,0fe116dfe0495e7c1a158eacc37e9c93fce2865af207d10f3b3645be3187b4c8,0,0,1,0,0,0,0,0,0,0,0
improvement_comment,0c35b0aadf8e4ae60f48b80076cb1abab7593cdce11e1d38b44947d3fa71e64c,1,0,0,0,0,0,0,0,0,1,0
improvement_comment,37496f917b3cc66a9d4900581bb98bea79ad73bf560c7ffa0ab8536f7c06fd8e,0,1,1,0,0,0,0,0,0,0,0
improvement_comment,22661e1ed452f7d7de1a4fa2a0ebd2ba96da86f136090c3147322e50b256e867,0,0,0,0,1,1,0,0,0,0,0
improvement_comment,19d5b3add69e3f391bc9e55049446922ec22dfde7b872235886f1ae746e9f88f,0,0,0,1,0,1,0,0,0,0,0
improvement_comment,4f49094b1b80c063787c683a6d015dbff6d0aad12e886f9ffae7004d91371c2c,0,0,0,0,0,0,0,0,0,1,0
improvement_comment,b6dd0dc66db490bb382257e7da3900e5ae2d1919d316908ca82c9b22c6cbbb54,0,0,0,0,0,0,0,1,0,1,0
improvement_comment,501fd0dffa16cb822fb2b9f95a821f14ffaa1324ea6a191c98720b7eb810574d,1,0,0,0,0,0,0,0,0,1,0
improvement_comment,c2ff9fcbd660049c61cccc71ac3e11e5d2677b9ac9d1f632279af88d7ee78449,0,0,0,0,0,1,1,0,0,0,0
